lat,lon,TYPE
49.28424857,-123.1221121,Break and Enter Commercia
49.28254055,-123.1258531,Break and Enter Commercia
49.27657179,-123.1343583,Break and Enter Commercia
49.27657179,-123.1343583,Break and Enter Commercia
49.27657179,-123.1343583,Break and Enter Commercia
49.27657179,-123.1343583,Break and Enter Commercia
49.28492896,-123.1345372,Break and Enter Commercia
49.28535594,-123.1338937,Break and Enter Commercia
49.28532443,-123.1337647,Break and Enter Commercia
49.27933528,-123.1316686,Break and Enter Commercia
49.28028529,-123.1274579,Break and Enter Commercia
49.2883794,-123.116619,Break and Enter Commercia
49.28821452,-123.1157004,Break and Enter Commercia
49.2798335,-123.1304478,Break and Enter Commercia
49.27977223,-123.1301731,Break and Enter Commercia
49.27955634,-123.1298373,Break and Enter Commercia
49.27955634,-123.1298373,Break and Enter Commercia
49.27942571,-123.1298135,Break and Enter Commercia
49.27953235,-123.1298,Break and Enter Commercia
49.28865199,-123.1398172,Break and Enter Commercia
49.28891796,-123.139234,Break and Enter Commercia
49.29006856,-123.1407762,Break and Enter Commercia
49.27602516,-123.1208314,Break and Enter Commercia
49.2764837,-123.1201451,Break and Enter Commercia
49.2765028,-123.1201165,Break and Enter Commercia
49.27850146,-123.13269,Break and Enter Commercia
49.27650856,-123.1214366,Break and Enter Commercia
49.27650856,-123.1214366,Break and Enter Commercia
49.27732372,-123.1202178,Break and Enter Commercia
49.27732372,-123.1202178,Break and Enter Commercia
49.27732372,-123.1202178,Break and Enter Commercia
49.2792417,-123.124947,Break and Enter Commercia
49.28594766,-123.1351469,Break and Enter Commercia
49.27780552,-123.121261,Break and Enter Commercia
49.28444166,-123.1245142,Break and Enter Commercia
49.2842239,-123.1241763,Break and Enter Commercia
49.2842239,-123.1241763,Break and Enter Commercia
49.27830303,-123.1223705,Break and Enter Commercia
49.28307168,-123.1252625,Break and Enter Commercia
49.28529053,-123.1225512,Break and Enter Commercia
49.28515593,-123.1221638,Break and Enter Commercia
49.28515593,-123.1221638,Break and Enter Commercia
49.28515593,-123.1221638,Break and Enter Commercia
49.28515593,-123.1221638,Break and Enter Commercia
49.28480769,-123.1218036,Break and Enter Commercia
49.28454212,-123.1213924,Break and Enter Commercia
49.28454212,-123.1213924,Break and Enter Commercia
49.28454212,-123.1213924,Break and Enter Commercia
49.28763558,-123.1184494,Break and Enter Commercia
49.28763558,-123.1184494,Break and Enter Commercia
49.28763558,-123.1184494,Break and Enter Commercia
49.28746059,-123.1201777,Break and Enter Commercia
