lat,lon,TYPE,YEAR,MONTH,DAY,HOUR,date,elev
49.28424857,-123.1221121,Break and Enter Commercia,2012,7,4,13,2012-07-04,0
49.28254055,-123.1258531,Break and Enter Commercia,2012,1,26,10,2012-01-26,0
49.27657179,-123.1343583,Break and Enter Commercia,2012,3,27,23,2012-03-27,0
49.27657179,-123.1343583,Break and Enter Commercia,2012,4,1,4,2012-04-01,0
49.27657179,-123.1343583,Break and Enter Commercia,2012,4,1,23,2012-04-01,0
49.27657179,-123.1343583,Break and Enter Commercia,2012,12,10,23,2012-12-10,0
49.28492896,-123.1345372,Break and Enter Commercia,2012,5,1,5,2012-05-01,0
49.28535594,-123.1338937,Break and Enter Commercia,2012,2,18,5,2012-02-18,0
49.28532443,-123.1337647,Break and Enter Commercia,2012,1,2,2,2012-01-02,0
49.27933528,-123.1316686,Break and Enter Commercia,2012,5,6,15,2012-05-06,0
49.28028529,-123.1274579,Break and Enter Commercia,2012,12,7,17,2012-12-07,0
49.2883794,-123.116619,Break and Enter Commercia,2012,1,8,22,2012-01-08,0
49.28821452,-123.1157004,Break and Enter Commercia,2012,10,27,21,2012-10-27,0
49.2798335,-123.1304478,Break and Enter Commercia,2012,2,16,16,2012-02-16,0
49.27977223,-123.1301731,Break and Enter Commercia,2012,6,10,7,2012-06-10,0
49.27955634,-123.1298373,Break and Enter Commercia,2012,11,28,13,2012-11-28,0
49.27955634,-123.1298373,Break and Enter Commercia,2012,12,5,17,2012-12-05,0
49.27942571,-123.1298135,Break and Enter Commercia,2012,11,2,18,2012-11-02,0
49.27953235,-123.1298,Break and Enter Commercia,2012,2,18,5,2012-02-18,0
49.28865199,-123.1398172,Break and Enter Commercia,2012,2,13,22,2012-02-13,0
49.28891796,-123.139234,Break and Enter Commercia,2012,2,24,3,2012-02-24,0
49.29006856,-123.1407762,Break and Enter Commercia,2012,1,8,16,2012-01-08,0
49.27602516,-123.1208314,Break and Enter Commercia,2012,12,13,5,2012-12-13,0
49.2764837,-123.1201451,Break and Enter Commercia,2012,12,15,22,2012-12-15,0
49.2765028,-123.1201165,Break and Enter Commercia,2012,11,10,8,2012-11-10,0
49.27850146,-123.13269,Break and Enter Commercia,2012,8,18,17,2012-08-18,0
49.27650856,-123.1214366,Break and Enter Commercia,2012,3,8,3,2012-03-08,0
49.27650856,-123.1214366,Break and Enter Commercia,2012,6,8,2,2012-06-08,0
49.27732372,-123.1202178,Break and Enter Commercia,2012,1,11,5,2012-01-11,0
49.27732372,-123.1202178,Break and Enter Commercia,2012,4,5,5,2012-04-05,0
49.27732372,-123.1202178,Break and Enter Commercia,2012,4,13,0,2012-04-13,0
49.2792417,-123.124947,Break and Enter Commercia,2012,12,1,14,2012-12-01,0
49.28594766,-123.1351469,Break and Enter Commercia,2012,12,14,14,2012-12-14,0
49.27780552,-123.121261,Break and Enter Commercia,2012,1,13,1,2012-01-13,0
49.28444166,-123.1245142,Break and Enter Commercia,2012,1,6,3,2012-01-06,0
49.2842239,-123.1241763,Break and Enter Commercia,2012,12,28,1,2012-12-28,0
49.2842239,-123.1241763,Break and Enter Commercia,2012,12,30,23,2012-12-30,0
49.27830303,-123.1223705,Break and Enter Commercia,2012,1,7,20,2012-01-07,0
49.28307168,-123.1252625,Break and Enter Commercia,2012,2,15,19,2012-02-15,0
49.28529053,-123.1225512,Break and Enter Commercia,2012,4,7,20,2012-04-07,0
49.28515593,-123.1221638,Break and Enter Commercia,2012,4,26,17,2012-04-26,0
49.28515593,-123.1221638,Break and Enter Commercia,2012,8,15,20,2012-08-15,0
49.28515593,-123.1221638,Break and Enter Commercia,2012,12,1,6,2012-12-01,0
49.28515593,-123.1221638,Break and Enter Commercia,2012,12,18,13,2012-12-18,0
49.28480769,-123.1218036,Break and Enter Commercia,2012,11,2,18,2012-11-02,0
49.28454212,-123.1213924,Break and Enter Commercia,2012,6,28,6,2012-06-28,0
49.28454212,-123.1213924,Break and Enter Commercia,2012,7,9,4,2012-07-09,0
49.28454212,-123.1213924,Break and Enter Commercia,2012,7,21,4,2012-07-21,0
49.28763558,-123.1184494,Break and Enter Commercia,2012,1,28,17,2012-01-28,0
49.28763558,-123.1184494,Break and Enter Commercia,2012,4,23,11,2012-04-23,0
49.28763558,-123.1184494,Break and Enter Commercia,2012,6,30,0,2012-06-30,0
49.28746059,-123.1201777,Break and Enter Commercia,2012,2,20,4,2012-02-20,0
49.28746059,-123.1201777,Break and Enter Commercia,2012,12,24,5,2012-12-24,0
49.28580186,-123.1245113,Break and Enter Commercia,2012,4,8,20,2012-04-08,0
49.28359888,-123.1276049,Break and Enter Commercia,2012,5,14,5,2012-05-14,0
49.27946306,-123.1285163,Break and Enter Commercia,2012,6,1,17,2012-06-01,0
49.28265895,-123.1305122,Break and Enter Commercia,2012,12,5,18,2012-12-05,0
49.2812099,-123.1325442,Break and Enter Commercia,2012,5,5,21,2012-05-05,0
49.2812099,-123.1325442,Break and Enter Commercia,2012,5,6,4,2012-05-06,0
49.28835765,-123.1402595,Break and Enter Commercia,2012,1,24,5,2012-01-24,0
49.27787032,-123.1251961,Break and Enter Commercia,2012,3,31,17,2012-03-31,0
49.27802412,-123.124963,Break and Enter Commercia,2012,5,14,8,2012-05-14,0
49.28496421,-123.1274218,Break and Enter Commercia,2012,9,7,18,2012-09-07,0
49.27799855,-123.1268109,Break and Enter Commercia,2012,3,20,12,2012-03-20,0
49.27799855,-123.1268109,Break and Enter Commercia,2012,3,23,4,2012-03-23,0
49.27799855,-123.1268109,Break and Enter Commercia,2012,4,14,3,2012-04-14,0
49.27799855,-123.1268109,Break and Enter Commercia,2012,10,1,14,2012-10-01,0
49.27799855,-123.1268109,Break and Enter Commercia,2012,10,18,0,2012-10-18,0
49.27866944,-123.125802,Break and Enter Commercia,2012,12,21,16,2012-12-21,0
49.2832106,-123.1342484,Break and Enter Commercia,2012,3,9,2,2012-03-09,0
49.28381275,-123.1333236,Break and Enter Commercia,2012,2,21,0,2012-02-21,0
49.28765435,-123.123964,Break and Enter Commercia,2012,9,29,20,2012-09-29,0
49.28734759,-123.1234777,Break and Enter Commercia,2012,6,16,4,2012-06-16,0
49.28734759,-123.1234777,Break and Enter Commercia,2012,11,26,0,2012-11-26,0
49.28650399,-123.1221405,Break and Enter Commercia,2012,9,28,17,2012-09-28,0
49.28276906,-123.1283875,Break and Enter Commercia,2012,11,17,5,2012-11-17,0
49.27601081,-123.1239867,Break and Enter Commercia,2012,5,9,12,2012-05-09,0
49.27668645,-123.1229625,Break and Enter Commercia,2012,1,17,5,2012-01-17,0
